task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
434	d8/5216f6	1202330	NFCORE_HIC:HIC:COOLER:COOLER_BALANCE (MJ21_4)	COMPLETED	0	2024-11-07 17:54:43.862	9.3s	5.4s	299.8%	655.3 MB	104.9 GB	45.9 MB	1.3 MB
437	05/51ff7d	1202331	NFCORE_HIC:HIC:COOLER:COOLER_BALANCE (MJ21_3)	COMPLETED	0	2024-11-07 17:54:43.887	9.3s	5s	271.9%	66.5 MB	8.2 GB	41.6 MB	145.5 KB
436	2c/a0f10d	1202332	NFCORE_HIC:HIC:COOLER:COOLER_BALANCE (MJ21_3)	COMPLETED	0	2024-11-07 17:54:44.021	9.1s	5.1s	277.2%	80 MB	8.2 GB	41.4 MB	92.3 KB
442	0e/5e58ef	1202333	NFCORE_HIC:HIC:COOLER:COOLER_ZOOMIFY (MJ21_3)	COMPLETED	0	2024-11-07 17:54:44.046	9.1s	7.8s	234.8%	609.7 MB	104.9 GB	52.4 MB	2.1 MB
439	4e/a8a9a3	1202334	NFCORE_HIC:HIC:COOLER:COOLER_BALANCE (MJ21_3)	COMPLETED	0	2024-11-07 17:54:44.071	9.2s	5.5s	283.0%	705.5 MB	104.9 GB	44.6 MB	1.1 MB
441	d8/abc63e	1202335	NFCORE_HIC:HIC:COOLER:COOLER_BALANCE (MJ21_3)	COMPLETED	0	2024-11-07 17:54:44.096	9.1s	5.7s	284.0%	680.9 MB	104.9 GB	43.7 MB	692.4 KB
444	85/1ec0e4	1202339	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_1)	COMPLETED	0	2024-11-07 17:54:44.300	8.9s	5.1s	410.5%	114.1 MB	8.2 GB	40.9 MB	35.7 KB
466	9d/811609	1202359	NFCORE_HIC:HIC:COOLER:SPLIT_COOLER_DUMP (MJ21_1)	COMPLETED	0	2024-11-07 17:54:48.558	4.7s	18ms	150.9%	0	0	470 KB	301.2 KB
467	fb/73d406	1202360	NFCORE_HIC:HIC:COOLER:SPLIT_COOLER_DUMP (MJ21_1)	COMPLETED	0	2024-11-07 17:54:48.581	4.7s	29ms	120.8%	1.5 MB	3.9 MB	1.5 MB	1.2 MB
468	e0/9c7ac2	1202361	NFCORE_HIC:HIC:COOLER:SPLIT_COOLER_DUMP (MJ21_1)	COMPLETED	0	2024-11-07 17:54:48.605	4.7s	27ms	119.6%	1.5 MB	3.9 MB	1.2 MB	956.8 KB
